@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
w,41-50,nein,ledig,ja,Samstag,'12-14 Uhr','10 - 25 km',3200-<4500,'> 5',825,183,?,?,?,?,234,?,?,108,61,327,20,?,48,?
m,18-30,ja,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',1000-<2000,0,360,90,?,?,6,?,184,?,70,?,?,?,?,?,?,102
m,51-60,nein,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',<1000,0,719,72,12,16,93,54,96,?,219,36,?,?,?,?,?,294
m,51-60,nein,ledig,ja,Dienstag,'<10 Uhr','10 - 25 km',1000-<2000,'1 bis 5',390,?,18,6,16,12,32,?,?,?,6,158,?,?,60,61
m,18-30,ja,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',296,138,3,32,?,?,?,?,?,?,28,105,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',344,?,?,?,36,?,50,?,48,26,?,282,?,?,?,?
w,18-30,ja,Partnerschaft,ja,Donnerstag,'14-17 Uhr','10 - 25 km',>4500,'> 5',887,294,?,69,?,?,?,138,?,?,?,240,?,?,?,146
m,51-60,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',246,66,2,21,99,105,30,?,39,58,19,?,?,?,39,?
m,18-30,ja,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',108,?,10,10,?,46,?,?,?,98,?,?,?,?,?,?
w,41-50,nein,ledig,ja,Donnerstag,'14-17 Uhr','< 10 km',1000-<2000,0,859,98,?,?,?,39,?,106,?,?,?,354,?,?,?,262
m,18-30,ja,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',418,?,5,12,135,19,138,?,?,?,?,250,?,?,?,?
m,>60,nein,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',1000-<2000,0,171,?,?,?,63,?,207,?,?,140,3,54,51,?,?,?
w,>60,ja,ledig,ja,Donnerstag,'<10 Uhr','10 - 25 km',2000-<3200,'> 5',383,58,?,?,?,?,146,?,?,90,?,?,?,?,?,89
m,41-50,nein,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',>4500,'> 5',479,53,?,?,?,44,?,?,?,138,?,244,?,?,?,?
m,51-60,ja,Partnerschaft,nein,Donnerstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',154,?,?,6,36,?,99,?,144,?,?,112,?,?,?,?
w,41-50,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,0,142,?,?,5,47,?,?,90,222,?,?,?,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Dienstag,'12-14 Uhr','< 10 km',2000-<3200,0,33,?,?,?,?,18,?,?,?,?,?,?,15,?,?,?
w,31-40,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'> 5',235,?,?,?,88,?,?,14,?,?,19,?,69,?,?,?
m,18-30,nein,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',356,25,1,?,78,?,54,?,220,?,?,252,?,?,?,?
m,41-50,ja,Partnerschaft,nein,Samstag,'14-17 Uhr','< 10 km',2000-<3200,0,506,?,14,30,?,18,?,?,?,?,141,?,42,?,?,309
w,41-50,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,0,385,?,?,?,?,?,?,?,?,162,186,31,26,?,?,118
w,18-30,ja,Partnerschaft,nein,Mittwoch,'>17 Uhr','10 - 25 km',<1000,0,169,?,?,?,?,?,?,?,?,30,37,?,?,?,?,?
w,>60,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',376,?,18,?,69,61,?,?,294,?,201,?,20,?,70,64
m,51-60,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',339,54,?,21,?,?,?,?,?,?,?,?,?,264,?,?
w,>60,ja,Partnerschaft,ja,Mittwoch,'14-17 Uhr','10 - 25 km',<1000,0,283,?,3,?,?,?,?,?,?,?,?,192,34,?,54,?
w,18-30,nein,ledig,ja,Montag,'14-17 Uhr','< 10 km',1000-<2000,0,432,?,33,?,105,?,?,?,264,6,?,?,?,?,?,?
m,51-60,ja,ledig,nein,Dienstag,'10-12 Uhr','> 25 km',>4500,'1 bis 5',54,?,?,?,?,?,?,?,?,?,?,?,54,?,?,?
m,31-40,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',>4500,0,196,?,?,?,?,?,?,?,?,237,24,?,42,?,42,44
m,31-40,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',274,?,?,6,63,?,69,147,110,?,?,?,58,?,?,?
w,18-30,ja,ledig,ja,Samstag,'10-12 Uhr','> 25 km',1000-<2000,'> 5',220,?,3,?,99,74,291,?,40,?,28,?,?,?,?,?
m,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',<1000,'> 5',596,96,15,?,?,?,64,?,?,26,48,254,?,?,58,110
w,41-50,nein,ledig,ja,Montag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',334,?,24,14,?,23,?,?,?,?,?,260,36,?,14,?
m,31-40,nein,Partnerschaft,ja,Montag,'12-14 Uhr','< 10 km',>4500,'1 bis 5',143,?,?,12,82,?,81,?,40,?,?,21,28,?,?,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','> 25 km',<1000,'1 bis 5',216,?,10,?,62,?,138,?,?,?,?,144,?,?,?,?
m,41-50,ja,ledig,ja,Mittwoch,'>17 Uhr','> 25 km',2000-<3200,'1 bis 5',105,?,?,7,23,?,255,75,?,?,?,?,?,?,?,?
w,>60,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',214,?,18,32,48,?,94,?,?,?,?,?,?,?,?,148
m,18-30,nein,ledig,ja,Freitag,'12-14 Uhr','< 10 km',>4500,0,411,?,8,18,?,60,?,?,?,?,?,322,57,?,?,?
m,18-30,ja,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',410,270,?,?,?,?,?,?,?,?,?,?,?,?,34,106
w,>60,ja,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',24,?,18,13,?,141,?,?,?,?,?,?,?,?,6,?
w,41-50,ja,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',339,?,?,?,?,?,?,?,?,?,141,?,12,110,37,76
m,18-30,ja,Partnerschaft,ja,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,0,183,?,?,?,?,?,?,?,?,52,168,?,15,?,?,?
m,>60,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','< 10 km',1000-<2000,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Samstag,'12-14 Uhr','< 10 km',3200-<4500,0,463,165,3,30,?,60,?,?,?,?,72,207,?,?,40,?
m,>60,ja,ledig,ja,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',65,?,12,?,2,?,69,?,?,51,?,?,?,?,?,?
w,18-30,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',<1000,'> 5',176,?,15,2,8,5,?,?,178,?,?,?,93,60,?,?
m,18-30,ja,ledig,ja,Montag,'>17 Uhr','10 - 25 km',<1000,'> 5',68,?,14,?,?,72,?,?,?,?,?,?,54,?,?,?
w,41-50,nein,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,0,324,64,8,12,?,54,?,?,?,?,?,?,?,?,?,252
m,18-30,nein,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',<1000,'1 bis 5',217,?,4,10,56,33,261,?,107,126,76,?,?,?,20,?
m,31-40,ja,Partnerschaft,ja,Samstag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',360,?,6,6,?,8,?,?,?,?,?,?,?,?,?,354
m,41-50,nein,Partnerschaft,ja,Freitag,'<10 Uhr','10 - 25 km',1000-<2000,0,303,6,?,?,37,40,122,21,117,30,10,?,12,?,?,?
w,18-30,nein,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',600,?,?,6,96,120,68,?,60,156,142,?,?,?,?,?
m,18-30,nein,ledig,nein,Montag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',428,?,12,24,50,5,?,66,98,?,?,228,?,?,72,?
m,18-30,nein,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',342,?,?,12,?,?,?,?,?,?,?,315,15,?,?,?
m,51-60,nein,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,'1 bis 5',116,?,?,48,28,?,?,?,106,?,?,?,40,?,?,?
w,31-40,nein,ledig,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',155,?,2,?,?,72,?,?,?,?,26,?,?,?,102,127
w,18-30,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',166,43,?,?,75,?,?,?,?,?,?,?,48,?,?,?
m,18-30,nein,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',<1000,'> 5',15,?,3,30,?,75,?,?,?,?,12,?,?,?,42,?
m,41-50,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',>4500,0,183,?,5,45,?,24,?,?,?,?,62,98,?,?,46,?
m,41-50,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',388,?,?,?,32,?,?,?,267,?,?,?,16,?,126,?
w,>60,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,0,314,?,10,21,?,30,?,?,?,?,?,256,48,?,?,?
m,18-30,nein,ledig,ja,Montag,'14-17 Uhr','< 10 km',>4500,'> 5',471,58,9,16,?,?,?,?,?,77,11,?,?,?,?,240
m,51-60,ja,ledig,nein,Freitag,'<10 Uhr','< 10 km',3200-<4500,'1 bis 5',175,?,?,?,69,74,?,?,?,?,?,?,?,?,32,?
w,51-60,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,162,?,?,?,?,?,?,?,124,38,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,nein,Dienstag,'10-12 Uhr','10 - 25 km',<1000,'> 5',240,240,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,51-60,nein,ledig,nein,Freitag,'14-17 Uhr','10 - 25 km',2000-<3200,'> 5',458,108,?,?,24,?,?,?,123,58,?,268,?,?,?,?
m,31-40,ja,ledig,nein,Montag,'14-17 Uhr','< 10 km',>4500,'1 bis 5',315,?,?,12,?,?,?,?,?,?,?,21,66,?,?,216
w,>60,nein,ledig,ja,Mittwoch,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',96,?,15,?,36,54,?,?,84,?,?,?,15,?,?,?
m,51-60,ja,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',356,?,?,?,?,?,?,?,?,37,124,232,?,?,41,?
w,18-30,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',480,166,14,?,48,48,117,?,38,?,?,252,?,?,?,?
w,41-50,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','> 25 km',1000-<2000,'1 bis 5',108,?,?,?,?,?,?,?,?,?,108,?,?,?,51,?
w,51-60,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',61,?,?,?,36,?,69,?,?,?,?,?,6,?,?,?
w,>60,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',111,?,?,?,99,?,291,?,?,?,?,?,?,?,?,12
w,41-50,ja,ledig,ja,Montag,'<10 Uhr','< 10 km',2000-<3200,'> 5',338,?,12,12,?,64,?,?,?,14,50,132,?,?,93,?
w,31-40,ja,ledig,ja,Dienstag,'12-14 Uhr','> 25 km',2000-<3200,0,903,?,3,10,11,?,?,?,130,?,40,154,22,?,48,369
w,18-30,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','< 10 km',<1000,'> 5',141,75,12,36,?,36,?,?,?,110,54,?,?,?,117,?
w,51-60,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',3200-<4500,0,244,?,2,?,53,11,27,?,?,70,?,?,14,?,?,105
m,41-50,nein,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',338,?,6,8,132,27,?,?,72,48,?,?,22,?,?,130
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',380,?,?,?,53,?,21,?,?,?,?,276,51,?,?,?
w,18-30,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,0,234,?,7,42,?,58,98,90,?,?,?,?,?,?,?,?
m,41-50,ja,Partnerschaft,nein,Freitag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',295,?,12,24,?,63,?,?,?,88,?,168,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','> 25 km',1000-<2000,'1 bis 5',302,?,?,?,?,?,?,?,?,144,93,?,23,66,?,?
m,51-60,ja,ledig,ja,Montag,'<10 Uhr','< 10 km',<1000,'> 5',455,?,10,9,64,87,?,?,219,?,?,114,?,?,?,?
m,41-50,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',548,?,?,?,?,?,?,?,321,61,?,120,46,?,?,?
m,18-30,ja,ledig,ja,Mittwoch,'<10 Uhr','< 10 km',2000-<3200,'> 5',259,?,?,?,?,?,?,?,?,136,?,?,123,?,?,?
m,31-40,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',319,?,5,16,?,30,66,?,?,122,?,?,?,?,93,?
w,31-40,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',<1000,'> 5',485,165,8,30,60,?,150,?,?,50,?,?,52,86,?,64
w,>60,nein,ledig,nein,Samstag,'10-12 Uhr','> 25 km',3200-<4500,'1 bis 5',382,?,1,?,?,?,?,?,?,106,63,?,?,?,60,318
m,>60,ja,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',144,?,9,20,42,45,258,?,216,?,?,?,?,?,?,93
m,41-50,ja,ledig,ja,Dienstag,'12-14 Uhr','< 10 km',3200-<4500,'> 5',67,?,14,21,36,?,291,?,130,?,?,?,9,?,?,?
m,>60,nein,Partnerschaft,nein,Montag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',258,?,?,?,24,?,244,?,?,?,?,?,33,?,?,201
w,18-30,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',309,?,14,10,?,?,?,?,?,?,76,123,?,?,41,62
w,>60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'> 5',611,88,10,20,?,108,?,?,?,36,?,141,24,285,?,?
w,51-60,ja,ledig,nein,Freitag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',397,2,?,33,?,?,?,?,?,?,68,224,70,?,76,?
m,18-30,ja,ledig,ja,Donnerstag,'10-12 Uhr','< 10 km',>4500,0,318,56,21,10,46,106,66,?,?,?,?,?,27,?,?,168
m,31-40,ja,ledig,ja,Freitag,'>17 Uhr','< 10 km',>4500,0,472,?,?,?,?,?,?,?,?,270,?,168,?,?,?,34
m,31-40,nein,Partnerschaft,ja,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',255,?,?,?,?,?,?,?,?,31,?,?,?,?,?,224
m,41-50,nein,ledig,nein,Donnerstag,'10-12 Uhr','> 25 km',2000-<3200,'1 bis 5',398,?,?,?,39,?,108,?,110,93,?,171,62,?,?,33
w,18-30,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',<1000,'> 5',191,?,21,10,?,30,?,110,?,110,52,?,?,?,72,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',3200-<4500,'> 5',456,?,14,8,?,80,?,?,?,?,?,141,?,?,?,172
m,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,0,66,?,7,10,?,44,?,?,?,?,?,?,?,?,?,59
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',88,?,2,?,?,34,?,?,?,?,?,?,27,?,?,59
m,>60,ja,ledig,ja,Samstag,'10-12 Uhr','< 10 km',<1000,0,296,?,4,16,?,54,?,?,?,140,25,?,?,?,34,?
w,41-50,nein,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',166,?,6,15,36,?,447,?,114,124,?,?,?,?,?,?
w,41-50,nein,ledig,ja,Montag,'>17 Uhr','< 10 km',<1000,'> 5',115,?,4,?,?,?,?,?,?,?,?,?,60,?,?,?
m,>60,ja,Partnerschaft,ja,Freitag,'<10 Uhr','10 - 25 km',3200-<4500,0,432,?,?,24,52,?,200,36,?,71,63,77,?,?,?,180
m,18-30,ja,Partnerschaft,nein,Samstag,'14-17 Uhr','> 25 km',3200-<4500,'> 5',419,64,?,?,71,?,214,?,?,?,?,110,96,?,?,78
w,31-40,ja,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',356,?,6,42,?,99,?,?,?,123,186,?,24,?,?,?
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',525,?,?,?,30,?,?,?,291,?,?,80,46,?,81,?
w,51-60,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',<1000,'> 5',452,122,3,?,59,?,?,?,?,42,102,?,?,?,9,82
m,>60,nein,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',<1000,'> 5',638,?,?,?,?,66,?,?,?,?,123,309,?,?,?,112
m,41-50,ja,Partnerschaft,ja,Dienstag,'<10 Uhr','> 25 km',<1000,0,418,?,15,?,42,26,268,?,94,165,?,?,?,?,?,?
w,31-40,nein,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',352,?,3,1,114,53,?,?,49,?,?,121,?,84,?,?
m,31-40,ja,Partnerschaft,nein,Freitag,'>17 Uhr','< 10 km',3200-<4500,'> 5',255,?,6,10,?,132,?,?,?,?,?,249,?,?,?,?
w,31-40,nein,ledig,nein,Freitag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',353,98,15,39,?,51,?,?,?,138,?,79,?,?,?,23
m,31-40,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',184,?,?,?,58,?,122,?,?,108,126,?,?,?,93,?
m,51-60,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',636,?,?,?,?,54,?,?,?,246,80,208,?,?,44,186
m,>60,ja,ledig,nein,Montag,'14-17 Uhr','10 - 25 km',2000-<3200,'> 5',150,?,?,?,57,?,222,?,?,?,?,?,?,?,30,63
m,18-30,ja,ledig,ja,Freitag,'10-12 Uhr','< 10 km',1000-<2000,0,476,?,9,?,?,96,?,?,?,?,42,387,25,?,54,?
w,31-40,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',>4500,'> 5',244,?,14,?,?,48,?,?,?,126,29,?,?,170,?,?
m,41-50,ja,ledig,ja,Freitag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',58,?,?,?,?,16,?,?,?,?,42,?,?,?,?,?
w,31-40,ja,Partnerschaft,nein,Montag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',527,?,?,?,36,81,?,?,72,86,?,324,?,?,?,?
w,31-40,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',417,?,?,?,?,?,?,?,?,?,?,171,?,?,33,213
m,18-30,nein,Partnerschaft,ja,Montag,'<10 Uhr','> 25 km',1000-<2000,'1 bis 5',83,?,?,?,?,?,?,?,?,?,?,83,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Donnerstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',126,?,?,?,10,?,70,?,177,78,48,?,?,?,70,68
w,51-60,nein,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',>4500,'> 5',484,183,15,?,35,32,32,?,134,78,80,?,?,?,?,109
m,31-40,nein,Partnerschaft,nein,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',332,93,6,4,?,?,?,?,?,18,30,?,?,?,28,155
w,41-50,ja,ledig,nein,Dienstag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',541,?,?,?,?,?,?,?,?,129,84,?,?,?,37,309
m,18-30,nein,ledig,ja,Freitag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',127,?,?,?,?,?,99,?,?,57,28,?,?,?,105,?
m,31-40,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',3200-<4500,'> 5',576,?,1,?,?,?,?,?,140,13,33,354,?,?,39,48
m,18-30,nein,ledig,ja,Montag,'14-17 Uhr','> 25 km',3200-<4500,'> 5',184,?,?,?,48,?,156,?,45,116,?,?,20,?,?,?
m,41-50,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',>4500,'1 bis 5',544,?,?,?,147,?,126,?,138,34,?,363,?,?,?,?
m,31-40,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',>4500,'1 bis 5',379,?,?,?,?,?,?,?,?,?,47,140,?,?,63,192
m,18-30,nein,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',2000-<3200,'> 5',400,?,?,?,47,?,76,?,65,?,?,118,25,?,?,210
m,18-30,ja,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',2000-<3200,0,42,?,6,24,36,12,90,?,?,?,?,?,?,?,?,?
w,51-60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'> 5',104,?,?,?,?,?,?,?,?,?,?,?,?,?,?,104
m,18-30,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',56,?,?,?,?,?,?,?,56,?,?,?,?,?,?,?
w,41-50,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',246,?,?,36,48,?,198,?,?,108,?,?,?,54,?,?
m,18-30,nein,Partnerschaft,nein,Montag,'>17 Uhr','< 10 km',1000-<2000,'> 5',445,?,?,?,24,?,?,?,?,?,?,306,?,?,?,115
m,>60,nein,Partnerschaft,nein,Montag,'<10 Uhr','< 10 km',3200-<4500,'> 5',150,?,?,?,76,?,?,?,148,68,?,6,?,?,?,?
w,41-50,nein,ledig,nein,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,0,70,?,?,?,40,?,?,?,124,174,30,?,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','< 10 km',2000-<3200,0,765,?,18,8,74,15,162,?,324,?,?,70,90,?,?,513
m,>60,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',<1000,'> 5',675,?,?,?,?,?,222,?,?,94,99,339,?,?,47,?
w,41-50,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',540,102,?,26,?,?,108,?,?,88,138,166,?,?,20,?
m,41-50,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',82,?,10,6,?,44,?,?,?,?,68,?,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',<1000,'1 bis 5',169,?,?,21,?,?,100,?,?,?,?,12,?,?,36,?
m,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,0,762,165,3,39,14,18,132,?,234,54,177,98,17,?,27,288
w,>60,nein,ledig,ja,Samstag,'14-17 Uhr','> 25 km',2000-<3200,'> 5',193,?,2,?,?,38,?,?,?,94,132,?,?,?,52,?
m,31-40,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',345,?,?,?,?,?,?,45,146,76,?,?,?,?,78,?
w,51-60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,0,359,?,5,12,23,?,?,?,178,94,49,150,?,?,111,?
m,31-40,nein,ledig,nein,Dienstag,'<10 Uhr','10 - 25 km',1000-<2000,0,516,?,6,6,?,30,?,?,309,138,105,?,?,?,114,72
w,31-40,ja,ledig,nein,Freitag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',407,?,4,4,25,22,150,?,50,38,?,262,?,?,78,?
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',478,?,?,36,68,?,?,?,100,?,?,81,?,?,?,57
m,41-50,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',163,?,?,?,?,?,?,?,?,?,?,?,57,?,?,106
w,18-30,ja,Partnerschaft,nein,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,0,506,?,9,36,?,51,?,?,?,?,32,144,38,?,?,162
m,18-30,ja,ledig,ja,Donnerstag,'10-12 Uhr','10 - 25 km',>4500,'1 bis 5',696,150,14,6,?,?,?,?,?,?,52,236,?,?,33,244
w,>60,nein,Partnerschaft,nein,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',312,?,?,?,?,?,?,?,?,?,?,312,?,?,?,?
w,>60,nein,ledig,ja,Montag,'10-12 Uhr','< 10 km',<1000,0,333,?,6,6,21,51,57,?,?,34,50,92,?,?,22,164
m,>60,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',128,?,9,18,?,57,?,?,?,28,36,?,72,?,30,?
m,>60,nein,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',78,?,?,5,55,?,?,?,273,?,?,?,?,?,?,18
w,41-50,ja,ledig,nein,Montag,'<10 Uhr','< 10 km',>4500,'1 bis 5',145,?,?,?,?,?,4,?,?,?,?,63,?,?,?,78
m,41-50,ja,Partnerschaft,ja,Freitag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',459,69,18,10,20,34,144,?,207,?,171,39,?,?,?,142
